"Ranking" "Title" "Year" "Domestic" "Foreign" "Worldwide" "Budget" "Rating" "Best_Picture" "Genre" "All_Genres" "Director"
"41" 41 "The Twilight Saga: Eclipse" 2010 300.5 398 698.5 65 "PG-13" "." "Dra" "Dra_Fan_Rom" "D. Slade"
"42" 42 "The Twilight Saga: New Moon" 2009 296.600006103516 413.100006103516 709.700012207031 50 "PG-13" "." "Dra" "Dra_Fan_Hor_Rom_Thr" "C. Weitz"
"43" 43 "Harry Potter and the Deathly Hallows Part 1" 2010 295 657.099975585938 952.099975585938 250 "PG-13" "." "Act" "Act_Adv_Fan_Mys" "D. Yates"
"44" 44 "The Sixth Sense" 1999 293.5 368 661.5 40 "PG-13" "nominated" "Dra" "Dra_Thr_Hor_Mys" "M. Night Shyamalan"
"45" 45 "Up" 2009 293 438.299987792969 731.299987792969 175 "PG" "nominated" "Ani" "Ani_Act_Adv_Com_Fam" "P. Docter/ B. Peterson"
"46" 46 "Inception" 2010 292.600006103516 532.099975585938 824.700012207031 200 "PG-13" "nominated" "Act" "Act_Mys_SciF_Thr" "C. Nolan"
"47" 47 "Harry Potter and the Order of the Phoenix" 2007 292 646.5 938.5 150 "PG-13" "." "Adv" "Adv_Dra_Fam_Fan" "D. Yates"
"48" 48 "The Chronicles of Narnia" 2005 291.700012207031 452.399993896484 744.099975585938 180 "PG" "." "Act" "Act_Adv_Dra_Fam_Fan" "A. Adamson"
"49" 49 "The Empire Strikes Back" 1980 290.200012207031 243.699996948242 533.900024414062 18 "PG" "." "Fan" "Fan_SciF_Act_Adv" "I. Kershner"
"50" 50 "Harry Potter and the Goblet of Fire" 2005 290 602.200012207031 892.200012207031 140 "PG-13" "." "Adv" "Adv_Fan_Mys_Thr" "M. Newell"
"51" 51 "Home Alone" 1990 285.799987792969 248 533.799987792969 NA "PG" "." "Com" "Com" "C. Columbus"
"52" 52 "The Matrix: Reloaded" 2003 281.5 454.200012207031 735.700012207031 127 "R" "." "Act" "Act_Thr_SciF" "A. Wachowski/L. Wachowski"
"53" 53 "The Twilight Saga: Breaking Dawn Part 1" 2011 281.299987792969 423.799987792969 705.099975585938 110 "PG-13" "." "Adv" "Adv_Dra_Fan_Rom" "B. Condon"
"54" 54 "Meet the Fockers" 2004 279.200012207031 234.300003051758 513.5 80 "PG-13" "." "Com" "Com" "J. Roach"
"55" 55 "The Hangover" 2009 277.299987792969 190 467.299987792969 35 "R" "." "Com" "Com" "T. Phillips"
"56" 56 "Shrek" 2001 267.700012207031 202 469.700012207031 60 "PG" "." "Adv" "Adv_Rom_Ani_Fan_Com" "A. Adamson/V. Jenson"
"57" 57 "Harry Potter and the Chamber of Secrets" 2002 262 604.400024414062 866.400024414062 100 "PG" "." "Fan" "Fan_Adv_Fam" "C. Columbus"
"58" 58 "The Amazing Spider-Man" 2012 262 490.200012207031 752.200012207031 230 "PG-13" "." "Act" "Act_Adv_Fan" "M. Webb"
"59" 59 "The Incredibles" 2004 261.399993896484 369.799987792969 631.200012207031 92 "PG" "." "Ani" "Ani_Fam_Adv_Act_Com" "B. Bird"
"60" 60 "Jaws" 1975 260 211 471 12 "PG" "nominated" "Adv" "Adv_Hor_Thr" "S. Spielberg"
"61" 61 "Dr. Seuss' How the Grinch Stole Christmas" 2000 260 80 340 123 "PG" "." "Fan" "Fan_Com" "R. Howard"
"62" 62 "Star Trek" 2009 257.700012207031 127.800003051758 385.5 150 "PG-13" "." "Act" "Act_Adv_SciF" "J.J. Abrams"
"63" 63 "I Am Legend" 2007 256.399993896484 327.5 583.900024414062 150 "PG-13" "." "Dra" "Dra_SciF_Thr" "F. Lawrence"
"64" 64 "Monsters, Inc. " 2001 255.899993896484 268.299987792969 524.200012207031 115 "G" "." "Ani" "Ani_Com_Fan" "P. Docter/D. Silverman"
"65" 65 "The Blind Side" 2009 255.899993896484 53.2999992370605 309.200012207031 29 "PG-13" "nominated" "Dra" "Dra_Spo" "J. L. Hancock"
"66" 66 "The Hangover Part II" 2011 254.5 327 581.5 80 "R" "." "Com" "Com" "T. Phillips"
"67" 67 "Despicable Me" 2010 251.5 293 544.5 69 "PG" "." "Ani" "Ani_Com_Fam" "P. Coffin/C. Renaud"
"68" 68 "Batman" 1989 251.199996948242 161.800003051758 413 NA "PG-13" "." "Act" "Act_Thr_Cri_Fan" "T. Burton"
"69" 69 "Night at the Museum" 2006 250.899993896484 321.799987792969 572.700012207031 120 "PG" "." "Act" "Act_Com_Fam_Fan" "S. Levy"
"70" 70 "Men in Black" 1997 250.100006103516 337.100006103516 587.200012207031 90 "PG-13" "." "Act" "Act_Com_SciF" "B. Sonnenfeld"
"71" 71 "Harry Potter and the Prisoner of Azkaban" 2004 249.399993896484 540.400024414062 789.799987792969 130 "PG" "." "Adv" "Adv_Fam_Fan" "A. Cuaron"
"72" 72 "Raiders of the Lost Ark" 1981 248.100006103516 135.899993896484 384 20 "PG" "nominated" "Act" "Act_Adv" "S. Spielberg"
"73" 73 "Toy Story 2" 1999 245.800003051758 239.899993896484 485.700012207031 90 "G" "." "Ani" "Ani_Com_Fan" "J. Lasseter"
"74" 74 "Cars" 2006 244.100006103516 217.899993896484 462 70 "G" "." "Ani" "Ani_Com_Fam_Fan_Spo" "J. Lasseter/J. Ranft"
"75" 75 "Bruce Almighty" 2003 242.600006103516 216.399993896484 459 81 "PG-13" "." "Com" "Com_Fan" "T. Shadyac"
"76" 76 "Twister" 1996 241.699996948242 253.300003051758 495 92 "PG-13" "." "Act" "Act_Thr" "J. de Bont"
"77" 77 "My Big Fat Greek Wedding" 2002 241.399993896484 115.099998474121 356.5 5 "PG" "." "Com" "Com_Rom" "J. Zwick"
"78" 78 "Pirates of the Caribbean: On Stranger Tides" 2011 241 798.599975585938 1039.59997558594 250 "PG-13" "." "Act" "Act_Adv_Fan" "R. Marshall"
"79" 79 "Ghostbusters" 1984 238.600006103516 53 291.600006103516 30 "PG" "." "SciF" "SciF_Fan_Com" "I. Reitman"
"80" 80 "Shrek Forever After" 2010 238.300003051758 511.700012207031 750 165 "PG" "." "Ani" "Ani_Adv_Com_Fam_Fan" "M. Mitchell"
"81" 81 "Brave" 2012 236.899993896484 298.100006103516 535 185 "PG" "." "Ani" "Ani_Act_Adv" "M. Andrews/B. Chapman/S. Purcell"
"82" 82 "Beverly Hills Cop" 1984 234.800003051758 81.5999984741211 316.399993896484 NA "R" "." "Act" "Act_Com" "M. Brest"
"83" 83 "X-Men: The Last Stand" 2006 234.399993896484 224.899993896484 459.299987792969 150 "PG-13" "." "Act" "Act_Fan_SciF_Thr" "B. Ratner"
"84" 84 "War of the Worlds" 2005 234.300003051758 357.100006103516 591.400024414062 128 "PG-13" "." "Act" "Act_Adv_Dra_SciF_Thr" "S. Spielberg"
"85" 85 "Cast Away" 2000 233.600006103516 190.699996948242 424.299987792969 90 "PG-13" "." "Adv" "Adv_Dra" "R. Zemeckis"
"86" 86 "The Lost World" 1997 229.100006103516 385.299987792969 614.400024414062 73 "PG-13" "." "Hor" "Hor_SciF_Adv_Thr_Act" "S. Spielberg"
"87" 87 "Signs" 2002 228 180 408 62 "PG-13" "." "Dra" "Dra_Mys_SciF_Thr_Fan" "M. Night Shyamalan"
"88" 88 "Hancock" 2008 227.899993896484 396.5 624.400024414062 150 "PG-13" "." "Act" "Act_Com_Dra_Fan" "P. Berg"
"89" 89 "The Bourne Ultimatum" 2007 227.5 215.300003051758 442.799987792969 110 "PG-13" "." "Act" "Act_Adv_Dra_Mys_Thr" "P. Greengrass"
"90" 90 "The Twilight Saga: Breaking Dawn - Part 2" 2012 227.399993896484 370.700012207031 598.099975585938 120 "PG-13" "." "Adv" "Adv_Dra_Fan_Rom" "B. Condon"
"91" 91 "Rush Hour 2" 2001 226.199996948242 102.900001525879 329.100006103516 90 "PG-13" "." "Act" "Act_Com" "B. Ratner"
"92" 92 "WALL-E" 2008 223.800003051758 311 534.799987792969 120 "G" "." "Ani" "Ani_Com_Fam_Rom_SciF" "A. Stanton"
"93" 93 "Skyfall" 2012 221.100006103516 575.5 796.599975585938 200 "PG-13" "." "Act" "Act_Adv_Cri_Thr" "S. Mendes"
"94" 94 "National Treasure: Book of Secrets" 2007 220 237.300003051758 457.299987792969 NA "PG" "." "Act" "Act_Adv_Mys_Thr" "J. Turteltaub"
"95" 95 "Alvin and the Chipmunks: The Squeakquel" 2009 219.5 223.5 443 75 "PG" "." "Ani" "Ani_Com_Fam_Rom" "B. Thomas"
"96" 96 "Mrs. Doubtfire" 1993 219.199996948242 204 423.200012207031 NA "PG-13" "." "Com" "Com_Dra" "C. Columbus"
"97" 97 "Beauty and the Beast" 1991 218.899993896484 206 424.899993896484 25 "G" "nominated" "Ani" "Ani_Mus_Rom" "G. Trousdale/K. Wise"
"98" 98 "Ted" 2012 218.600006103516 282.899993896484 501.5 50 "R" "." "Com" "Com_Fan" "S. MacFarlane"
"99" 99 "King Kong" 2005 218.100006103516 331.100006103516 549.200012207031 207 "PG-13" "." "Act" "Act_Adv_Dra_Fan_SciF_Thr" "P. Jackson"
"100" 100 "Ghost" 1990 217.600006103516 300 517.599975585938 22 "PG-13" "nominated" "Com" "Com_Rom_Thr" "J. Zucker"
"101" 101 "The Da Vinci Code" 2006 217.5 540.700012207031 758.200012207031 125 "PG-13" "." "Dra" "Dra_Mys_Thr" "R. Howard"
"102" 102 "Aladdin" 1992 217.399993896484 285 502.399993896484 28 "G" "." "Ani" "Ani_Mus_Fan_Com" "R. Clements/J. Musker"
"103" 103 "How to Train Your Dragon" 2010 217.399993896484 275.799987792969 493.200012207031 165 "PG" "." "Ani" "Ani_Adv_Com_Fam_Fan" "D. Deblois/C. Sanders"
"104" 104 "Alvin and the Chipmunks" 2007 217.300003051758 141.600006103516 358.899993896484 70 "PG" "." "Com" "Com_Fam_Ani" "T. Hill"
"105" 105 "Madagascar 3: Europe's Most Wanted" 2012 216.399993896484 524.099975585938 740.5 145 "PG" "." "Ani" "Ani_Adv_Com" "E. Darnell/T. McGrath/C. Vernon"
"106" 106 "Saving Private Ryan" 1998 216.300003051758 263 479.299987792969 70 "R" "nominated" "Act" "Act_Dra_War" "S. Spielberg"
"107" 107 "Mission: Impossible 2" 2000 215.399993896484 330 545.400024414062 125 "PG-13" "." "Act" "Act_Adv_Mys_Thr" "J. Woo"
"108" 108 "Kung Fu Panda" 2008 215.399993896484 416.5 631.900024414062 130 "PG" "." "Ani" "Ani_Act_Com_Fam" "M. Osborne/J. Stevenson"
