"Ranking" "Title" "Year" "Domestic" "Foreign" "Worldwide" "Budget" "Rating" "Best_Picture" "Genre" "All_Genres" "Director"
"181" 181 "Tron Legacy" 2010 172.100006103516 225.199996948242 397.299987792969 170 "PG" "." "Act" "Act_Adv_SciF_Thr" "J. Kosinski"
"182" 182 "The Matrix" 1999 171.5 285 456.5 63 "R" "." "Act" "Act_Thr_SciF" "A. Wachowski/L. Wachowski"
"183" 183 "Tarzan" 1999 171.100006103516 264.200012207031 435.299987792969 150 "G" "." "Ani" "Ani_Adv" "C. Buck/K. Lima"
"184" 184 "True Grit" 2010 171 78.3000030517578 249.300003051758 38 "PG-13" "nominated" "Adv" "Adv_Dra_Wes" "E. Coen/J. Coen"
"185" 185 "A Beautiful Mind" 2001 170.699996948242 141.399993896484 312.100006103516 60 "PG-13" "won" "Dra" "Dra_Rom" "R. Howard"
"186" 186 "Chicago" 2002 170.699996948242 135.600006103516 306.299987792969 40 "PG-13" "won" "Mus" "Mus_Com_Rom" "R. Marshall"
"187" 187 "The Help" 2011 169.600006103516 37.0999984741211 206.699996948242 25 "PG-13" "nominated" "Dra" "Dra" "T. Taylor"
"188" 188 "Bridesmaids" 2011 169.100006103516 117.699996948242 286.799987792969 33 "R" "." "Com" "Com" "P. Feig"
"189" 189 "Quantum of Solace" 2008 168.399993896484 407.600006103516 576 225 "PG-13" "." "Act" "Act_Adv_Thr" "M. Forster"
"190" 190 "Wild Hogs" 2007 168.300003051758 84.5 252.800003051758 NA "PG-13" "." "Adv" "Adv_Com" "W. Becker"
"191" 191 "Three Men and a Baby" 1987 167.800003051758 0 167.800003051758 NA "PG" "." "Com" "Com" "L. Nimoy"
"192" 192 "Casino Royale" 2006 167.399993896484 426.799987792969 594.200012207031 150 "PG-13" "." "Act" "Act_Adv_Thr" "M. Campbell"
"193" 193 "Meet the Parents" 2000 166.199996948242 129.300003051758 295.5 55 "PG-13" "." "Com" "Com" "J. Roach"
"194" 194 "2012" 2009 166.100006103516 603.599975585938 769.700012207031 200 "PG-13" "." "Act" "Act_Adv_Dra_SciF_Thr" "R. Emmerich"
"195" 195 "Robin Hood: Prince of Thieves" 1991 165.5 225 390.5 NA "PG-13" "." "Act" "Act_Adv" "K. Reynolds"
"196" 196 "Kung Fu Panda 2" 2011 165.199996948242 497.799987792969 663 150 "PG" "." "Ani" "Ani_Act_Adv_Com_Fam" "J. Yuh"
"197" 197 "Hannibal" 2001 165.100006103516 184.199996948242 349.299987792969 87 "R" "." "Hor" "Hor_Thr" "R. Scott"
"198" 198 "Catch Me If You Can" 2002 164.399993896484 171.899993896484 336.299987792969 52 "PG-13" "." "Adv" "Adv_Cri_Com_Dra_Thr" "S. Spielberg"
"199" 199 "The Proposal" 2009 164 150.699996948242 314.700012207031 40 "PG-13" "." "Com" "Com_Dra_Rom" "A. Fletcher"
"200" 200 "The Pursuit of Happyness" 2006 163.600006103516 141 304.600006103516 NA "PG-13" "." "Com" "Com_Dra" "G. Muccino"
"201" 201 "Big Daddy" 1999 163.5 70.0999984741211 233.600006103516 34 "PG-13" "." "Com" "Com" "D. Dugan"
"202" 202 "The Sound of Music" 1965 163.199996948242 0 163.199996948242 NA "G" "won" "Mus" "Mus" "R. Wise"
"203" 203 "Clash of the Titans" 2010 163.199996948242 330 493.200012207031 125 "PG-13" "." "Act" "Act_Adv_Dra_Fan" "L. Leterrier"
"204" 204 "Batman Returns" 1992 162.800003051758 120 282.799987792969 80 "PG-13" "." "Cri" "Cri_Dra_Fan_Mys_Thr_Act" "T. Burton"
"205" 205 "A Bug's Life" 1998 162.800003051758 195.199996948242 358 45 "G" "." "Ani" "Ani_Com" "J. Lasseter/A. Stanton"
"206" 206 "Grown Ups" 2010 162 109.400001525879 271.399993896484 80 "PG-13" "." "Com" "Com" "D. Dugan"
"207" 207 "The Waterboy" 1998 161.5 28.7000007629395 190.199996948242 23 "PG-13" "." "Com" "Com" "F. Coraci"
"208" 208 "Shark Tale" 2004 160.800003051758 176.699996948242 337.5 75 "PG" "." "Ani" "Ani_Com_Fam" "B. Bergeron/V. Jenson"
"209" 209 "Ice Age: Continental Drift" 2012 160.800003051758 714.099975585938 874.900024414062 100 "PG" "." "Ani" "Ani_Adv_Com_Fam" "S. Martino/M. Thurmeier"
"210" 210 "Die Another Day" 2002 160.199996948242 264.5 424.700012207031 142 "PG-13" "." "Act" "Act" "L. Tamahori"
"211" 211 "The Sting" 1973 159.600006103516 0 159.600006103516 6 "PG" "won" "Dra" "Dra_Cri_Com" "G. Roy Hill"
"212" 212 "The Firm" 1993 158.300003051758 104 262.299987792969 42 "R" "." "Thr" "Thr_Dra" "S. Pollack"
"213" 213 "The Longest Yard" 2005 158.100006103516 32.2000007629395 190.300003051758 82 "PG-13" "." "Com" "Com_Dra" "P. Segal"
"214" 214 "X-Men" 2000 157.300003051758 137 294.299987792969 75 "PG-13" "." "Act" "Act_SciF" "B. Singer"
"215" 215 "Scary Movie" 2000 157 120 277 19 "R" "." "Com" "Com_Hor_Mys" "K. Ivory Wayans"
"216" 216 "Fatal Attraction" 1987 156.600006103516 163.5 320.100006103516 NA "R" "nominated" "Dra" "Dra_Hor_Thr" "A. Lyne"
"217" 217 "The Mummy" 1999 155.399993896484 258.100006103516 413.5 80 "PG-13" "." "Adv" "Adv_Act_Hor" "S. Sommers"
"218" 218 "What Lies Beneath" 2000 155.399993896484 120.199996948242 275.600006103516 100 "PG-13" "." "Hor" "Hor_Mys_Thr" "R. Zemeckis"
"219" 219 "Fast and Furious" 2009 155.100006103516 187.899993896484 343 85 "PG-13" "." "Act" "Act" "J. Lin"
"220" 220 "Snow White & the Huntsman" 2012 155.100006103516 241.300003051758 396.399993896484 170 "PG-13" "." "Act" "Act_Adv_Dra" "R. Sanders"
"221" 221 "Over the Hedge" 2006 155 180.100006103516 335.100006103516 NA "PG" "." "Ani" "Ani_Com_Fam" "T. Johnson/K Kirkpatrick"
"222" 222 "Fantastic Four" 2005 154.699996948242 175.399993896484 330.100006103516 100 "PG-13" "." "Act" "Act_SciF_Fan" "T. Story"
"223" 223 "Dr. Seuss' Horton Hears a Who!" 2008 154.5 142.600006103516 297.100006103516 85 "G" "." "Ani" "Ani_Adv_Com_Fam" "J. Hayward, S. Martino "
"224" 224 "Who Framed Roger Rabbit" 1988 154.100006103516 195.100006103516 349.200012207031 NA "PG" "." "Act" "Act_Ani_Com_Fan_Thr" "R. Zemeckis"
"225" 225 "Jerry Maguire" 1996 154 119.599998474121 273.600006103516 50 "R" "nominated" "Com" "Com_Dra_Rom" "C. Crowe"
"226" 226 "Beverly Hills Cop 2" 1987 153.699996948242 146.300003051758 300 NA "R" "." "Act" "Act_Com" "T. Scott"
"227" 227 "Scooby-Doo" 2002 153.300003051758 114.400001525879 267.700012207031 52 "PG" "." "Adv" "Adv_Mys_Com_Fan" "R. Gosnell"
"228" 228 "One Hundred and One Dalmatians" 1961 152.600006103516 62.4000015258789 215 NA "G" "." "Ani" "Ani_Com" "C. Geronimi/H. Luske"
"229" 229 "Sex and the City" 2008 152.600006103516 262.700012207031 415.299987792969 65 "R" "." "Com" "Com_Rom" "M. King"
"230" 230 "Runaway Bride" 1999 152.300003051758 155.600006103516 307.899993896484 70 "PG" "." "Com" "Com_Rom" "G. Marshall"
"231" 231 "Rambo: First Blood Part 2" 1985 150.399993896484 150 300.399993896484 NA "R" "." "Act" "Act_Adv" "G. P. Costamos"
"232" 232 "Terminator 3: Rise of the Machines" 2003 150.399993896484 267.899993896484 418.299987792969 170 "R" "." "SciF" "SciF_Act_Thr" "J. Mostow"
"233" 233 "G.I. Joe: The Rise of Cobra" 2009 150.199996948242 151.300003051758 301.5 170 "PG-13" "." "Act" "Act_Adv_SciF_Thr" "S. Sommers"
"234" 234 "Wreck-It Ralph" 2012 149.300003051758 42.2999992370605 191.600006103516 165 "PG" "." "Ani" "Ani_Com_Fam" "R. Moore"
"235" 235 "Puss in Boots" 2011 149.199996948242 399.799987792969 549 130 "PG" "." "Adv" "Adv_Ani_Com_Fan" "C. Miller"
"236" 236 "Knocked Up" 2007 148.800003051758 70.1999969482422 219 33 "R" "." "Com" "Com_Dra_Rom" "J. Apatow"
"237" 237 "As Good As It Gets" 1997 148.5 164.899993896484 313.399993896484 50 "PG-13" "nominated" "Com" "Com_Dra_Rom" "J. L. Brooks"
"238" 238 "Little Fockers" 2010 148.399993896484 160.5 308.899993896484 100 "PG-13" "." "Com" "Com" "P. Weitz"
"239" 239 "Gremlins" 1984 148.199996948242 -0.200000002980232 148 NA "PG" "." "Com" "Com_Fan_Hor_Act" "J. Dante"
"240" 240 "Talladega Nights: The Ballad of Ricky Bobby" 2006 148.199996948242 14.8000001907349 163 73 "PG-13" "." "Act" "Act_Com_Spo" "A. McKay"
"241" 241 "Megamind" 2010 148.199996948242 170.600006103516 318.799987792969 130 "PG" "." "Ani" "Ani_Act_Com_Fam_SciF" "T. McGrath"
"242" 242 "Gran Torino" 2008 148.100006103516 93.1999969482422 241.300003051758 35 "R" "." "Cri" "Cri_Dra" "C. Eastwood"
"243" 243 "Lethal Weapon 2" 1989 147.300003051758 80 227.300003051758 NA "R" "." "Com" "Com_Cri_Act_Thr" "R. Donner"
"244" 244 "X-Men: First Class" 2011 146.399993896484 206.199996948242 352.600006103516 160 "PG-13" "." "Act" "Act_Adv_Dra_SciF" "M. Vaughn"
"245" 245 "True Lies" 1994 146.300003051758 219 365.299987792969 100 "R" "." "Act" "Act_Adv_Com_Rom_Thr" "J. Cameron"
"246" 246 "Paul Blart: Mall Cop" 2009 146.300003051758 37 183.300003051758 25 "PG" "." "Act" "Act_Com_Cri_Fam" "S. Carr"
"247" 247 "Lilo & Stitch" 2002 145.800003051758 117 262.799987792969 80 "PG" "." "Com" "Com_Ani_SciF" "D. Deblois/C. Sanders"
"248" 248 "American Pie 2" 2001 145.100006103516 140.300003051758 285.399993896484 30 "R" "." "Com" "Com" "J. B. Rogers"
"249" 249 "Taken" 2009 145 81.8000030517578 226.800003051758 25 "PG-13" "." "Act" "Act_Cri_Dra_Thr" "P. Morel"
"250" 250 "The Santa Clause" 1994 144.800003051758 50 194.800003051758 NA "PG" "." "Com" "Com" "J. Pasquin"
