"Region" "CountryName" "CountryCode" "BirthRate" "DeathRate" "InfantDeaths" "FertilityRate" "GNI" "LifeExpectancyFemales" "LifeExpectancyMales"
"42" "Europe & Central Asia" "Denmark" "DNK" 11.3999996185303 9.80000019073486 3.29999995231628 1.87000000476837 59410 81.1999969482422 77.0999984741211
"43" "Latin America & Caribbean" "Dominican Republic" "DOM" 21.7980003356934 5.93400001525879 21.7000007629395 2.57999992370605 5020 76.0550003051758 70.4810028076172
"44" "Latin America & Caribbean" "Ecuador" "ECU" 20.6639995574951 5.01100015640259 20.2999992370605 2.47900009155273 3850 78.495002746582 72.5739974975586
"45" "Middle East & North Africa" "Egypt, Arab Rep." "EGY" 23.1679992675781 5.12099981307983 19.1000003814697 2.73300004005432 2420 74.9589996337891 71.0859985351562
"46" "Latin America & Caribbean" "El Salvador" "SLV" 20.2919998168945 6.52899980545044 14 2.25 3370 76.588996887207 67.1070022583008
"47" "Sub-Saharan Africa" "Equatorial Guinea" "GNQ" 36.7249984741211 14.5839996337891 80.8000030517578 5.18499994277954 13720 52.1720008850098 49.5730018615723
"48" "Sub-Saharan Africa" "Eritrea" "ERI" 36.1879997253418 7.71999979019165 47.4000015258789 4.45300006866455 340 63.3800010681152 58.7220001220703
"49" "Europe & Central Asia" "Estonia" "EST" 11.8000001907349 11.8000001907349 3.20000004768372 1.62999999523163 14180 80.5 70.5999984741211
"50" "Sub-Saharan Africa" "Ethiopia" "ETH" 31.4300003051758 9.64599990844727 54 4.19299983978271 390 60.3279991149902 57.1790008544922
"51" "East Asia & Pacific" "Fiji" "FJI" 21.5499992370605 6.69600009918213 14.6999998092651 2.66799998283386 3610 72.1100006103516 66.4789962768555
"52" "Europe & Central Asia" "Finland" "FIN" 11.3999996185303 9.5 2.40000009536743 1.87000000476837 47460 83.1999969482422 76.6999969482422
"53" "Europe & Central Asia" "France" "FRA" 12.8000001907349 8.39999961853027 3.5 2 42190 84.8000030517578 78.0999984741211
"54" "Sub-Saharan Africa" "Gabon" "GAB" 27.1200008392334 8.93900012969971 50.4000015258789 3.25 7680 63.3499984741211 61.273998260498
"55" "Sub-Saharan Africa" "Gambia, The" "GMB" 38.068000793457 9.23999977111816 58.2999992370605 4.89599990844727 610 59.3769989013672 57.0009994506836
"56" "Europe & Central Asia" "Georgia" "GEO" 11.9160003662109 11.3280000686646 19.2000007629395 1.55499994754791 2680 76.9039993286133 69.9209976196289
"57" "Europe & Central Asia" "Germany" "DEU" 8.30000019073486 10.5 3.40000009536743 1.38999998569489 42970 82.5999984741211 77.5
"58" "Sub-Saharan Africa" "Ghana" "GHA" 31.5370006561279 7.8270001411438 53 4.17000007629395 1250 64.8339996337891 62.8880004882812
"59" "Europe & Central Asia" "Greece" "GRC" 9.69999980926514 9.39999961853027 3.90000009536743 1.44000005722046 26890 83 77.9000015258789
"60" "Latin America & Caribbean" "Grenada" "GRD" 19.423999786377 6.08900022506714 10.5 2.23499989509583 7010 77.2799987792969 74.1179962158203
"61" "Latin America & Caribbean" "Guatemala" "GTM" 32.3269996643066 5.45300006866455 25.2000007629395 3.98300004005432 2740 74.4619979858398 67.3619995117188
"62" "Sub-Saharan Africa" "Guinea" "GIN" 38.8380012512207 13.0590000152588 81.1999969482422 5.24599981307983 390 55.2519989013672 52.1020011901855
"63" "Sub-Saharan Africa" "Guinea-Bissau" "GNB" 38.3310012817383 16.7119998931885 98.5999984741211 5.06300020217896 580 49.2480010986328 46.2270011901855
"64" "Latin America & Caribbean" "Guyana" "GUY" 18.0540008544922 5.71799993515015 30.2999992370605 2.26200008392334 2900 72.7979965209961 66.4550018310547
"65" "Latin America & Caribbean" "Haiti" "HTI" 26.6389999389648 8.95600032806396 67.5 3.33999991416931 650 62.9599990844727 60.6230010986328
"66" "Latin America & Caribbean" "Honduras" "HND" 26.7110004425049 4.8600001335144 18.8999996185303 3.13899993896484 1870 75.2229995727539 70.5429992675781
"67" "East Asia & Pacific" "Hong Kong SAR, China" "HKG" 12.5 5.90000009536743 NA 1.10800004005432 32780 85.9000015258789 80
"68" "Europe & Central Asia" "Hungary" "HUN" 9 13 5.69999980926514 1.25 12860 78.0999984741211 70.5
"69" "Europe & Central Asia" "Iceland" "ISL" 15.3999996185303 6.40000009536743 1.79999995231628 2.20000004768372 33890 83.5 79.5
"70" "South Asia" "India" "IND" 22.1730003356934 8.03999996185303 48.5999984741211 2.625 1260 66.7129974365234 63.625
"71" "East Asia & Pacific" "Indonesia" "IDN" 18.2180004119873 7.01000022888184 25.7999992370605 2.11700010299683 2500 70.5839996337891 67.2760009765625
"72" "Middle East & North Africa" "Iraq" "IRQ" 35.4090003967285 5.75099992752075 31.3999996185303 4.7020001411438 2380 72.0120010375977 65.1279983520508
"73" "Europe & Central Asia" "Ireland" "IRL" 16.5 6.09999990463257 3.40000009536743 2.0699999332428 41720 82.6880035400391 78.0100021362305
"74" "Middle East & North Africa" "Israel" "ISR" 21.7999992370605 5.19999980926514 3.70000004768372 3.02999997138977 27270 83.4000015258789 79.6999969482422
"75" "Europe & Central Asia" "Italy" "ITA" 9.30000019073486 9.69999980926514 3.29999995231628 1.39999997615814 35530 84.4000015258789 79.1999969482422
"76" "Latin America & Caribbean" "Jamaica" "JAM" 15.9700002670288 6.51000022888184 16.2999992370605 2.3289999961853 4700 75.5090026855469 70.3119964599609
"77" "East Asia & Pacific" "Japan" "JPN" 8.5 9.5 2.40000009536743 1.38999998569489 42050 86.3899993896484 79.6399993896484
"78" "Middle East & North Africa" "Jordan" "JOR" 25.0249996185303 4.02400016784668 18.3999996185303 3.79999995231628 4140 74.7320022583008 71.9160003662109
"79" "Europe & Central Asia" "Kazakhstan" "KAZ" 22.3999996185303 8.89999961853027 25.7999992370605 2.58999991416931 7500 73.3199996948242 63.5099983215332
"80" "Sub-Saharan Africa" "Kenya" "KEN" 37.609001159668 10.5419998168945 50.0999984741211 4.71799993515015 810 57.6279983520508 55.4199981689453
"81" "East Asia & Pacific" "Korea, Rep." "KOR" 9.39999961853027 5.09999990463257 4.19999980926514 1.22000002861023 19720 84.25 77.4400024414062
"82" "Europe & Central Asia" "Kosovo" "KSV" 18.5300006866455 7.05000019073486 NA 2.28929996490479 3340 72.0100021362305 67.8600006103516
"83" "Middle East & North Africa" "Kuwait" "KWT" 18.1720008850098 3.06500005722046 9.39999961853027 2.29500007629395 48900 75.5189971923828 73.734001159668
"84" "Europe & Central Asia" "Kyrgyz Republic" "KGZ" 26.5510005950928 6.88100004196167 27.8999996185303 2.89800000190735 840 73.4440002441406 65.4869995117188
"85" "East Asia & Pacific" "Lao PDR" "LAO" 22.7549991607666 6.27799987792969 35.2000007629395 2.74699997901917 1010 68.4710006713867 65.7239990234375
"86" "Europe & Central Asia" "Latvia" "LVA" 8.60000038146973 13.3999996185303 7.59999990463257 1.16999995708466 11850 78.4000015258789 68.8000030517578
"87" "Middle East & North Africa" "Lebanon" "LBN" 15.3540000915527 6.92000007629395 8.5 1.79999995231628 8750 74.6240005493164 70.2990036010742
"88" "Sub-Saharan Africa" "Lesotho" "LSO" 27.7859992980957 15.8039999008179 67.1999969482422 3.19899988174438 1100 46.6059989929199 48.0880012512207
